brands,categories,categories_tags,code,countries,countries_tags,created_t,ecoscore_grade,generic_name,image_url,ingredients_tags,ingredients_text,labels,labels_tags,last_modified_t,manufacturing_places,origins,origins_tags,packaging,packaging_tags,packagings,product_name,stores,source,search_query,ecoscore_score,ecoscore_tags
"Das Exquisite, Rossmann",Dark chocolates,"['en:snacks', 'en:sweet-snacks', 'en:cocoa-and-its-products', 'en:chocolates', 'en:dark-chocolates']",4305615838847,Germany,['en:germany'],1619532070,e,,https://images.openfoodfacts.org/images/products/430/561/583/8847/front_de.21.400.jpg,"['en:cocoa-paste', 'en:plant', 'en:cocoa', 'en:sugar', 'en:added-sugar', 'en:disaccharide', 'en:cocoa-powder', 'en:fat-reduced-cocoa-powder']","Kakaomasse, Zucker, Kakaopulver (stark entölt).","Fair trade, FSC, Made in Germany","['en:fair-trade', 'en:fsc', 'en:made-in-germany']",1779669294,Deutschland,,[],Pappe,['en:cardboard'],"[{'material': 'en:paperboard', 'number_of_units': 1, 'shape': 'en:sleeve'}, {'food_contact': 1, 'material': 'en:aluminium', 'number_of_units': 1, 'shape': 'en:sheet'}]",Schokolade Noir 78%,,food,schokolade,26.0,
ja,"Milk chocolates, de:Alpen-Vollmilch","['en:snacks', 'en:sweet-snacks', 'en:cocoa-and-its-products', 'en:chocolates', 'en:milk-chocolates', 'de:Alpen-Vollmilch']",4337256613460,"Germany, Morocco","['en:germany', 'en:morocco']",1693048397,e,,https://images.openfoodfacts.org/images/products/433/725/661/3460/front_de.7.400.jpg,"['en:sugar', 'en:added-sugar', 'en:disaccharide', 'en:cocoa-butter', 'en:plant', 'en:cocoa', 'en:whole-milk-powder', 'en:dairy', 'en:milk-powder', 'en:sweet-whey-powder', 'en:whey', 'en:sweet-whey', 'en:cocoa-paste', 'en:hazelnut-paste', 'en:nut', 'en:tree-nut', 'en:hazelnut', 'en:butterfat', 'en:oil-and-fat', 'en:fat', 'en:milkfat', 'en:emulsifier', 'en:bourbon-vanilla-extract', 'en:extract', 'en:vanilla', 'en:bourbon-vanilla', 'en:vegetable-extract', 'en:vanilla-extract', 'en:e322']","Zucker, Kakaobutter, Vollmilchpulver 16%, Süßmolkenpulver, Kakaomasse, Haselnusspaste, Butterreinfett, Emulgator (Lecithine (Soja)), Bourbon-Vanilleextrakt. Kann Spuren von anderen Schalenfrüchten und Gluten enthalten.","Fairtrade cocoa, Nutriscore Grade E","['en:fair-trade', 'en:fairtrade-cocoa', 'en:nutriscore', 'en:nutriscore-grade-e']",1778534146,,de:Stollwerk GmbH 22844 Norderstedt,['de:Stollwerk GmbH 22844 Norderstedt'],,,[],Alpen-Vollmilch Schokolade,Rewe,food,schokolade,18.0,
"Glico, LU, Mondelez","Dark chocolate biscuits, Stick biscuits covered with chocolate","['en:snacks', 'en:sweet-snacks', 'en:biscuits-and-cakes', 'en:biscuits-and-crackers', 'en:biscuits', 'en:chocolate-biscuits', 'en:dark-chocolate-biscuits', 'en:stick-biscuits-covered-with-chocolate']",7622300479008,"Austria, France, Germany, Switzerland","['en:austria', 'en:france', 'en:germany', 'en:switzerland']",1485963907,e,Kekse überzogen mit dunkler Schokolade (49%),https://images.openfoodfacts.org/images/products/762/230/047/9008/front_de.51.400.jpg,"['en:wheat-flour', 'en:cereal', 'en:flour', 'en:wheat', 'en:cereal-flour', 'en:sugar', 'en:added-sugar', 'en:disaccharide', 'en:cocoa-paste', 'en:plant', 'en:cocoa', 'en:vegetable-fat', 'en:oil-and-fat', 'en:vegetable-oil-and-fat', 'en:cocoa-butter', 'en:sweet-whey-powder', 'en:dairy', 'en:whey', 'en:sweet-whey', 'en:clarified-butter', 'en:fat', 'en:milkfat', 'en:butterfat', 'en:salt', 'en:emulsifier', 'en:raising-agent', 'en:yeast', 'en:flavouring', 'en:palm', 'en:palm-oil-and-fat', 'en:palm-oil', 'en:coconut', 'en:fruit', 'en:milk', 'en:soya-lecithin', 'en:e322', 'en:e322i', 'en:e476', 'en:e503']","wheat flour, sugar, cocoa mass, vegetable fats (palm, coconut), cocoa butter, sweet whey powder (from milk), clarified butter, salt, emulsifiers (soy lecithins, e476), raising agent (e503), yeast, flavouring,","Charte LU Harmony, Green Dot, Made in France","['en:distributor-labels', 'en:charte-lu-harmony', 'en:green-dot', 'en:made-in-france']",1777715562,Frankreich,,[],"Plastic,Cardboard,Paperboard","['en:plastic', 'en:cardboard', 'en:paperboard']",[],Mikado Zartherbe Schokolade,"HIT, REWE",food,schokolade,23.0,
Kölln,Mueslis with chocolate,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breakfast-cereals', 'en:chocolate-cereals', 'en:mueslis', 'en:mueslis-with-chocolate']",4000540063868,Germany,['en:germany'],1753465598,c,,https://images.openfoodfacts.org/images/products/400/054/006/3868/front_de.7.400.jpg,"['en:whole-grain-oat-flakes', 'en:cereal', 'en:oat', 'en:oat-flakes', 'en:wholemeal-oat', 'en:sugar', 'en:added-sugar', 'en:disaccharide', 'en:cocoa-paste', 'en:plant', 'en:cocoa', 'en:wholemeal-oat-flour', 'en:flour', 'en:cereal-flour', 'en:wholemeal-flour', 'en:oat-flour', 'en:wheat-flour', 'en:wheat', 'en:caramel-syrup', 'en:whole-milk-powder', 'en:dairy', 'en:milk-powder', 'en:cocoa-butter', 'en:fat-reduced-cocoa-powder', 'en:cocoa-powder', 'en:skimmed-milk-powder', 'en:corn-starch', 'en:starch', 'en:barley-malt-extract', 'en:malt', 'en:malted-barley', 'en:salt', 'en:emulsifier', 'en:e322']","Vollkorn-Haferflocken (67%), Zucker, Kakaomasse, Vollkorn-Hafermehl (4%), Weizenmehl, Karamellsirup, Vollmilchpulver, Kakaobutter, fettarmes Kakaopulver, Magermilchpulver, Maisstärke, Gerstenmalzextrakt, Speisesalz, Emulgator Lecithine. Kann Mandeln, Haselnüsse, Cashewkerne und Pekannüsse enthalten.",,,1778866385,,,,,,[],Schoko Hafer-Müsli,,food,schokolade,59.0,
Quaker,"Mueslis, Cereal clusters with nuts","['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breakfast-cereals', 'en:mueslis', 'en:cereals-with-nuts', 'en:crunchy-cereal-clusters', 'en:cereal-clusters-with-nuts']",3168930010265,"Belgium, France, French Polynesia, Germany, Guadeloupe, Italy, Luxembourg, Martinique, Netherlands, Réunion, Slovenia, Spain, Switzerland, United Kingdom","['en:belgium', 'en:france', 'en:french-polynesia', 'en:germany', 'en:guadeloupe', 'en:italy', 'en:luxembourg', 'en:martinique', 'en:netherlands', 'en:reunion', 'en:slovenia', 'en:spain', 'en:switzerland', 'en:united-kingdom']",1495353417,b,Pépites de céréales croustillantes avec Mélange de Noix,https://images.openfoodfacts.org/images/products/316/893/001/0265/front_en.297.400.jpg,"['en:wholemeal-oat', 'en:cereal', 'en:oat', 'en:whole-wheat', 'en:wheat', 'en:glucose-syrup', 'en:added-sugar', 'en:monosaccharide', 'en:glucose', 'en:sunflower-oil', 'en:oil-and-fat', 'en:vegetable-oil-and-fat', 'en:vegetable-oil', 'en:sugar', 'en:disaccharide', 'en:roasted-almonds', 'en:nut', 'en:tree-nut', 'en:almond', 'en:hazelnut', 'en:oligofructose', 'en:pecan-nut', 'en:wheat-flour', 'en:flour', 'en:cereal-flour', 'en:rice-flour', 'en:rice', 'en:brazil-nut', 'en:honey', 'en:natural-flavouring', 'en:flavouring', 'en:antioxidant', 'en:vitamin-e', 'en:vitamins']","_avoine_ complète (32%), _blé_ complet (18%), sirop de glucose, huile de tournesol, sucre, _amandes_ grillées (4,2%), _noisettes_ (4%), oligofructose, _noix de Pécan_ (1,5%), farine de _blé_, farine de riz, _noix du Brésil_ (1%), miel, arômes naturels, antioxydant (tocophérol).","No artificial flavors, No preservatives, Green Dot, No colorings, No palm oil, Nutriscore Grade A, Triman","['en:no-artificial-flavors', 'en:no-preservatives', 'en:green-dot', 'en:no-colorings', 'en:no-palm-oil', 'en:nutriscore', 'en:nutriscore-grade-a', 'fr:triman']",1779419015,,,[],"Sachet,Boîte","['en:bag', 'en:box']","[{'material': 'en:cardboard', 'number_of_units': 1, 'recycling': 'en:recycle-in-sorting-bin', 'shape': 'en:sleeve', 'weight_measured': 52}, {'material': 'en:plastic', 'number_of_units': 1, 'quantity_per_unit': '450 g', 'quantity_per_unit_unit': 'g', 'quantity_per_unit_value': 450, 'recycling': 'en:recycle-in-sorting-bin', 'shape': 'en:bag', 'weight_measured': 6.9}]",cruesly mélange de noix,"Intermarché, Magasins U",food,muesli,63.0,
Jordans,Mueslis with fruits,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breakfast-cereals', 'en:cereals-with-fruits', 'en:mueslis', 'en:mueslis-with-fruits']",5010477348678,"Belgium, France, French Polynesia, Germany, Italy, Martinique, Monaco, Réunion, Spain, Switzerland","['en:belgium', 'en:france', 'en:french-polynesia', 'en:germany', 'en:italy', 'en:martinique', 'en:monaco', 'en:reunion', 'en:spain', 'en:switzerland']",1427620086,b,Flocons de 3 céréales avec 30% de fruits séchés et de noix,https://images.openfoodfacts.org/images/products/501/047/734/8678/front_fr.226.400.jpg,"['en:wholemeal-cereal', 'en:cereal', 'en:dried-fruits', 'en:fruit', 'en:barley-flakes', 'en:barley', 'en:sunflower-seed', 'en:plant', 'en:seed', 'en:sunflower', 'en:oat-flakes', 'en:oat', 'en:wheat-flakes', 'en:wheat', 'en:raisin', 'en:berries', 'en:grape', 'fr:raisins-de-sultanine', 'en:dried-apricots', 'en:prunus-species-fruit', 'en:apricot', 'en:dried-apple', 'en:malaceous-fruit', 'en:apple', 'en:coconut', 'fr:noix-noisettes-hachees-grillees', 'en:flaked-almonds', 'en:nut', 'en:tree-nut', 'en:almond']","Céréales complètes (59%) (flocons d'_avoine_, flocons de _blé_, flocons de _blé_ grillés), fruits secs (30%)  (raisins secs, raisins de sultanine, abricots secs hachés, tranches de pommes séchées, éclats de noix de coco grillés, noix_noisettes_ hachées grillées, _amandes_ effilées), flocons d'_orge_, graines de tournesol.","Vegetarian, No artificial flavors, No preservatives, High fibres, iron source, magnesium source, No added salt, No added sugar, No colorings, No palm oil, Nutriscore Grade A, Phosphore source, Rich in vitamin B1, Triman, fr:Source-de-potassium","['en:low-or-no-salt', 'en:vegetarian', 'en:no-artificial-flavors', 'en:no-preservatives', 'en:source-of-fibre', 'en:high-fibres', 'en:iron-source', 'en:magnesium-source', 'en:no-added-salt', 'en:no-added-sugar', 'en:no-colorings', 'en:no-palm-oil', 'en:nutriscore', 'en:nutriscore-grade-a', 'en:phosphore-source', 'en:rich-in-vitamin-b1', 'fr:triman', 'fr:Source-de-potassium']",1779554300,Royaume-Uni,Belgium,['en:belgium'],"Etui en carton,Sachet en plastique,Sachet en plastique à jeter,Étui en carton à recycler","['fr:etui-en-carton', 'fr:sachet-en-plastique', 'fr:sachet-en-plastique-a-jeter', 'fr:etui-en-carton-a-recycler']","[{'material': 'en:cardboard', 'number_of_units': 1, 'quantity_per_unit': '750 g', 'quantity_per_unit_unit': 'g', 'quantity_per_unit_value': 750, 'recycling': 'en:recycle-in-sorting-bin', 'shape': 'en:box', 'weight_measured': 65.15}, {'material': 'en:plastic', 'number_of_units': 1, 'quantity_per_unit': '750 g', 'quantity_per_unit_unit': 'g', 'quantity_per_unit_value': 750, 'recycling': 'en:recycle-in-sorting-bin', 'shape': 'en:bag', 'weight_measured': 9.19}]",Special Muesli 30% fruits & noix,"Auchan, Carrefour, Colruyt, Leclerc, Magasins U, Marché U, U, carrefour.fr",food,muesli,70.0,
Crownfield,Mueslis with chocolate,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breakfast-cereals', 'en:chocolate-cereals', 'en:mueslis', 'en:mueslis-with-chocolate']",4056489300786,"Belgium, Croatia, Cyprus, France, Germany, Greece, Hungary, Italy, Lithuania, Serbia, Switzerland","['en:belgium', 'en:croatia', 'en:cyprus', 'en:france', 'en:germany', 'en:greece', 'en:hungary', 'en:italy', 'en:lithuania', 'en:serbia', 'en:switzerland']",1606030760,a-plus,,https://images.openfoodfacts.org/images/products/405/648/930/0786/front_de.158.400.jpg,"['en:whole-grain-oat-flakes', 'en:cereal', 'en:oat', 'en:oat-flakes', 'en:wholemeal-oat', 'en:dark-chocolate', 'en:chocolate', 'en:glucose-syrup', 'en:added-sugar', 'en:monosaccharide', 'en:glucose', 'en:whole-wheat-flakes', 'en:wheat', 'en:whole-wheat', 'en:wheat-flakes', 'en:sunflower-oil', 'en:oil-and-fat', 'en:vegetable-oil-and-fat', 'en:vegetable-oil', 'en:fat-reduced-cocoa-powder', 'en:plant', 'en:cocoa', 'en:cocoa-powder', 'en:wheat-flour', 'en:flour', 'en:cereal-flour', 'en:cane-sugar', 'en:disaccharide', 'en:sugar', 'en:spelt-flour', 'en:coconut', 'en:fruit', 'en:honey', 'fr:pepites-de-chocolat-au-lait', 'en:milk-chocolate', 'en:sea-salt', 'en:salt', 'en:barley-malt-extract', 'en:malt', 'en:malted-barley', 'en:cocoa-paste', 'en:cocoa-butter', 'en:emulsifier', 'en:whole-milk-powder', 'en:dairy', 'en:milk-powder', 'en:sunflower-lecithin', 'en:e322', 'en:e322i']","_Hafervollkornflocken_, Zartbitterschokolade (Kakaomasse, Rohrzucker, Kakaobutter, Emulgator: Sonnenblumenlecithin), Glukosesirup, _Weizenvollkornflocken_, Sonnenblumenöl, fettarmes Kakaopulver, _Weizenmehl_, Rohrzucker, _Dinkelweizenmehl_, Kokosraspel, Honig, Vollmilchschokoladenstückchen (Zucker, Kakaomasse, _Vollmilchpulver_, Kakaobutter, Emulgator: Lecithine), Meersalz, _Gerstenmalzextrakt_","EG-Öko-Verordnung, DE-ÖKO-005, EU/non-EU Agriculture, High fibres, No palm oil, Nutriscore Grade C, Rainforest Alliance Cocoa, UTZ Certified Cocoa, AB Agriculture Biologique","['en:organic', 'en:eu-organic', 'en:non-eu-agriculture', 'en:source-of-fibre', 'en:sustainable-farming', 'de:eg-öko-verordnung', 'en:de-oko-005', 'en:eu-agriculture', 'en:eu-non-eu-agriculture', 'en:high-fibres', 'en:no-palm-oil', 'en:nutriscore', 'en:nutriscore-grade-c', 'en:rainforest-alliance', 'en:rainforest-alliance-cocoa', 'en:utz-certified', 'en:utz-certified-cocoa', 'fr:ab-agriculture-biologique']",1779556441,,,[],"Plástico,Saco,Cartão,Pacote,Papel cartonado,en:PP/PE","['en:plastic', 'en:bag', 'en:cardboard', 'en:packet', 'en:paperboard', 'en:pp-pe']","[{'material': 'en:pp-5-polypropylene', 'shape': 'en:bag'}, {'material': 'en:non-corrugated-cardboard', 'number_of_units': 1, 'recycling': 'en:recycle', 'shape': 'en:box'}]",Knusper Müsli Schoko,Lidl,food,muesli,90.0,
"Crownfield, Lidl","Berries, Crunchy mueslis with fruits","['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:fruits-and-vegetables-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:fruits-based-foods', 'en:breakfast-cereals', 'en:fruits', 'en:cereals-with-fruits', 'en:mueslis', 'en:berries', 'en:crunchy-mueslis', 'en:mueslis-with-fruits', 'en:crunchy-mueslis-with-fruits']",4056489296805,"Belgium, Croatia, Cyprus, France, Germany, Greece, Hungary, Italy, Latvia","['en:belgium', 'en:croatia', 'en:cyprus', 'en:france', 'en:germany', 'en:greece', 'en:hungary', 'en:italy', 'en:latvia']",1604900834,a,,https://images.openfoodfacts.org/images/products/405/648/929/6805/front_en.130.400.jpg,"['en:whole-grain-oat-flakes', 'en:cereal', 'en:oat', 'en:oat-flakes', 'en:wholemeal-oat', 'en:whole-wheat-flakes', 'en:wheat', 'en:whole-wheat', 'en:wheat-flakes', 'en:cane-sugar', 'en:added-sugar', 'en:disaccharide', 'en:sugar', 'en:glucose-syrup', 'en:monosaccharide', 'en:glucose', 'en:sunflower-oil', 'en:oil-and-fat', 'en:vegetable-oil-and-fat', 'en:vegetable-oil', 'en:coconut', 'en:fruit', 'en:wholemeal-oat-flour', 'en:flour', 'en:cereal-flour', 'en:wholemeal-flour', 'en:oat-flour', 'en:honey', 'en:blackberry', 'en:berries', 'en:raspberry', 'en:strawberry-pieces', 'en:strawberry', 'en:sea-salt', 'en:salt', 'en:antioxidant', 'en:e306']","46% Hafervollkornflocken, 14% Weizenvollkornflocken, Rohrzucker, Glukosesirup, Sonnenblumenöl, Kokosraspel, Hafervollkornmehl, Honig, 1,5% gefriergetrocknete Brombeeren, 0,5% gefriergetrocknete Himbeere, 0,5% gefriergetrocknete Erdbeerstücke, Meersalz, Antioxidationsmittel: stark tocopherolhaltige Extrakte","USDA Organic, EG-Öko-Verordnung, DE-ÖKO-005, EU/non-EU Agriculture, No palm oil, Nutriscore Grade C, AB Agriculture Biologique, Triman","['en:organic', 'en:eu-organic', 'en:non-eu-agriculture', 'en:usda-organic', 'de:eg-öko-verordnung', 'en:de-oko-005', 'en:eu-agriculture', 'en:eu-non-eu-agriculture', 'en:no-palm-oil', 'en:nutriscore', 'en:nutriscore-grade-c', 'fr:ab-agriculture-biologique', 'fr:triman']",1773049940,,,[],"Carton,Papier cartonné","['en:cardboard', 'en:paperboard']","[{'material': 'en:paperboard', 'shape': 'en:sleeve'}, {'material': 'de:PP/LDPE', 'shape': 'en:bag'}]",Bio Knusper Müsli Früchte,Lidl,food,muesli,78.0,
Crownfield,Mueslis with nuts,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breakfast-cereals', 'en:mueslis', 'en:cereals-with-nuts', 'en:mueslis-with-nuts']",20775025,"France, Germany","['en:france', 'en:germany']",1525452395,b,,https://images.openfoodfacts.org/images/products/000/002/077/5025/front_en.67.400.jpg,"['en:whole-grain-oat-flakes', 'en:cereal', 'en:oat', 'en:oat-flakes', 'en:wholemeal-oat', 'en:sugar', 'en:added-sugar', 'en:disaccharide', 'en:wheat-grain', 'en:wheat', 'en:sunflower-oil', 'en:oil-and-fat', 'en:vegetable-oil-and-fat', 'en:vegetable-oil', 'en:wheat-flour', 'en:flour', 'en:cereal-flour', 'en:whole-wheat-flakes', 'en:whole-wheat', 'en:wheat-flakes', 'en:pecan-nut', 'en:nut', 'en:tree-nut', 'en:peanut', 'en:honey', 'en:cashew-nuts', 'en:hazelnut', 'en:flaked-almonds', 'en:almond', 'en:salt', 'en:barley-malt-extract', 'en:malt', 'en:malted-barley', 'en:antioxidant', 'en:e306']","45 % flocons d'avoine complète, sucre, grains de froment (blé), huile de tournesol, farine de blé, flocons de blé complet, 4% noix de pécan hachée, 4% cacahuètes (arachides), 1,5% miel, 1% noix de cajou, 1% noisettes, 1% amandes effilées, sel, extrait de malt d'orge, antioxydant : extrait riche en tocophérols.",Triman,['fr:triman'],1772012021,,,[],Plastique,['en:plastic'],"[{'food_contact': 1, 'material': 'en:plastic', 'number_of_units': 1, 'quantity_per_unit': '500 g', 'quantity_per_unit_unit': 'g', 'quantity_per_unit_value': 500, 'shape': 'en:bag', 'weight_measured': 7.9}]",Muesli croustillant Noix et Miel,Lidl,food,muesli,64.0,
Charles Vignon,Mueslis with chocolate,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breakfast-cereals', 'en:chocolate-cereals', 'en:mueslis', 'en:mueslis-with-chocolate']",3111902100020,"France, Germany","['en:france', 'en:germany']",1427990445,a,,https://images.openfoodfacts.org/images/products/311/190/210/0020/front_fr.90.400.jpg,"['en:wholemeal-cereal', 'en:cereal', 'en:unrefined-cane-sugar', 'en:added-sugar', 'en:disaccharide', 'en:sugar', 'en:cane-sugar', 'en:unrefined-sugar', 'en:chocolate', 'en:oil', 'en:oil-and-fat', 'fr:rapee', 'en:fat-reduced-cocoa-powder', 'en:plant', 'en:cocoa', 'en:cocoa-powder', 'en:oat-flakes', 'en:oat', 'en:rice', 'en:dark-chocolate', 'en:white-chocolate', 'en:milk-chocolate', 'en:sunflower-oil', 'en:vegetable-oil-and-fat', 'en:vegetable-oil', 'en:coconut-oil', 'en:cocoa-paste', 'en:cocoa-butter', 'en:whole-milk-powder', 'en:dairy', 'en:milk-powder']","Céréales* complètes 63% (flocons d'*avoine* 51,9%, riz*), sucre de canne* non raffiné, chocolat* 10% [chocolat noir* 4% (pâte de cacao*, sucre de canne*, beurre de cacao), chocolat* blanc 3.5% (sucre de canne*, beurre de cacao*, lait* entier en poudre), chocolat au lait 2,5% (sucre de canne*, beurre de cacao*, lait* entier en poudre, pâte de cacao*)], huile de tournesol*, noix de coco* râpée, cacao* maigre en poudre.

*Ingrédients issus de l'agriculture biologique. 
Peut contenir des traces de graines de sésame, soja et fruits à coque. Contient du gluten.","Fair trade, EU Agriculture, FR-BIO-01, No palm oil, AB Agriculture Biologique","['en:fair-trade', 'en:organic', 'en:eu-organic', 'en:eu-agriculture', 'en:fr-bio-01', 'en:no-palm-oil', 'fr:ab-agriculture-biologique']",1773051775,saint symphorien,"France, Europe, fr:Avoine d'Europe, fr:Avoine de France, fr:Fabriquée en France, fr:Hors Europe","['en:france', 'en:europe', ""fr:Avoine d'Europe"", 'fr:Avoine de France', 'fr:Fabriquée en France', 'fr:Hors Europe']",Plastique,['en:plastic'],"[{'food_contact': 1, 'material': 'en:recyclable-plastic', 'number_of_units': 1, 'recycling': 'en:recycle-in-sorting-bin', 'shape': 'en:bag'}]",Muesli bio croustillant 3 chocolats,"carrefour.fr, monoprix",food,muesli,84.0,
Crownfield,"Crunchy cereal clusters, Crunchy mueslis with fruits","['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breakfast-cereals', 'en:cereals-with-fruits', 'en:mueslis', 'en:crunchy-mueslis', 'en:mueslis-with-fruits', 'en:crunchy-cereal-clusters', 'en:crunchy-mueslis-with-fruits']",4056489209980,"Belgium, France, Germany, Italy, Portugal, Slovenia, Spain","['en:belgium', 'en:france', 'en:germany', 'en:italy', 'en:portugal', 'en:slovenia', 'en:spain']",1581443687,b,,https://images.openfoodfacts.org/images/products/405/648/920/9980/front_en.93.400.jpg,"['en:whole-grain-oat-flakes', 'en:cereal', 'en:oat', 'en:oat-flakes', 'en:wholemeal-oat', 'en:sultana-raisin', 'en:fruit', 'en:berries', 'en:grape', 'en:raisin', 'en:sultana', 'en:sugar', 'en:added-sugar', 'en:disaccharide', 'en:palm-oil', 'en:oil-and-fat', 'en:vegetable-oil-and-fat', 'en:palm-oil-and-fat', 'en:corn-flakes', 'en:corn', 'en:cornmeal', 'en:salt', 'en:barley-malt-extract', 'en:malt', 'en:malted-barley', 'en:emulsifier', 'en:banana', 'en:coconut', 'fr:billes-de-cereales', 'en:wheat-flour', 'en:flour', 'en:wheat', 'en:cereal-flour', 'en:glucose-syrup', 'en:monosaccharide', 'en:glucose', 'en:dried-apple-pieces', 'en:malaceous-fruit', 'en:apple', 'en:dried-apple', 'en:apple-pieces', 'en:oligofructose', 'en:honey', 'en:caramelised-sugar', 'en:cinnamon', 'en:condiment', 'en:spice', 'en:natural-flavouring', 'en:flavouring', 'fr:traces-eventuelles-d-autres-cereales-contenant-du-gluten', 'en:soya', 'en:milk', 'en:dairy', 'fr:de-fruits-a-coque', 'en:peanut', 'en:nut', 'en:sunflower-oil', 'en:vegetable-oil', 'en:e322', 'en:coconut-fat', 'en:vegetable-fat', 'en:natural-banana-flavouring', 'en:rice-flour', 'en:rice', 'en:antioxidant', 'en:e300', 'en:sunflower-lecithin', 'en:e322i', 'en:e330']","44% flocons d'avoine complète, 16% raisins secs sultanines (raisins secs sultanines, huile de tournesol), sucre, huile de palme, 5% cornflakes (4,8% semoule de maïs, sel, extrait de malt d'orge, émulsifiant: lécithines (tournesol), 4,5 % chips de banane (3,37% banane, graisse de coco, sucre, arôme naturel de banane), 4,5 % chips de noix de coco grillés, 4% billes de céréales (morceaux de maïs, farine de blé, sucre, farine de riz, sel), farine de blé, sirop de glucose, 2% morceaux de pommes déshydratées (1,98% morceaux de pommes, antioxydants: acide citrique, acide ascorbique), oligofructose, miel, extrait de malt d'orge, sel, sucre caramélisé, cannelle, arôme naturel, Traces éventuelles d'autres céréales contenant du gluten, de soja, de lait, de fruits à coque et d'arachides,","Green Dot, No colorings, Nutriscore","['en:green-dot', 'en:no-colorings', 'en:nutriscore']",1775627751,,Germany,['en:germany'],"Karton,21 PAP","['en:cardboard', 'en:non-corrugated-cardboard']","[{'material': 'en:cardboard', 'number_of_units': 1, 'shape': 'en:box', 'weight_measured': 57}, {'material': 'en:plastic', 'number_of_units': 1, 'shape': 'en:bag', 'weight_measured': 7.3}]",Crunchy Muesli Multi Fruit,Lidl,food,muesli,62.0,
"Weetabix, Alpen","Bircher-style mueslis with fruits, Mueslis with nuts","['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breakfast-cereals', 'en:cereals-with-fruits', 'en:mueslis', 'en:bircher-style-mueslis', 'en:mueslis-with-fruits', 'en:bircher-style-mueslis-with-fruits', 'en:cereals-with-nuts', 'en:mueslis-with-nuts']",5010029201246,"Belgium, France, Germany, Italy, Luxembourg, Morocco, Portugal, Spain, Switzerland, United Kingdom","['en:belgium', 'en:france', 'en:germany', 'en:italy', 'en:luxembourg', 'en:morocco', 'en:portugal', 'en:spain', 'en:switzerland', 'en:united-kingdom']",1398103757,b,,https://images.openfoodfacts.org/images/products/501/002/920/1246/front_en.193.400.jpg,"['en:whole-wheat', 'en:cereal', 'en:wheat', 'en:whole-grain-oat-flakes', 'en:oat', 'en:oat-flakes', 'en:wholemeal-oat', 'en:raisin', 'en:fruit', 'en:berries', 'en:grape', 'en:milk', 'en:dairy', 'de:süß-molken-pulver', 'en:nut', 'en:salt', 'en:hazelnut', 'en:tree-nut', 'en:almond']","_Vollkornweizen_ (43%), _Vollkornhaferflocken_ (37%), Rosinen (15%), Mager_milch_pulver, Süß_molken_pulver, Geröstete gehackte _Nüsse_ (2%) (_Haselnüsse_, _Mandeln_), Salz.","Low or no sugar, Vegetarian, Low salt, Green Dot, High fibres, No added sugar, No palm oil, Nutriscore Grade A, Triman, 100% natural","['en:low-or-no-salt', 'en:low-or-no-sugar', 'en:vegetarian', 'en:low-salt', 'en:source-of-fibre', 'en:green-dot', 'en:high-fibres', 'en:no-added-sugar', 'en:no-palm-oil', 'en:nutriscore', 'en:nutriscore-grade-a', 'fr:triman', 'es:100\xa0% natural']",1775978101,,,[],"Plástico,Papel","['en:plastic', 'en:paper']","[{'material': 'en:cardboard', 'number_of_units': 1, 'shape': 'en:box'}, {'material': 'en:plastic', 'number_of_units': 1, 'shape': 'en:bag'}]",Swiss Style Muesli,"Auchan, E.Leclerc, Pingo Doce, Rewe",food,muesli,63.0,
